model,rmse,mae,r2
RandomForest,26669.750416448616,15837.86215585893,0.9112851468547281
Ridge,28757.407345305863,16155.208056877605,0.8968526930739261
Lasso,29111.335690001335,15730.777619438531,0.8942981229474242
LinearRegression,29133.045488080366,15711.403012955752,0.8941404096708075
